This file contains the actual data for your assignment - good luck!
Name	Comments
Aelish	96
Stefan	94
Haniyah	93
Calla	93
Leyre	92
Edith	89
Apisai	83
Rafal	76
Stefany	76
Kya	72
Breanna	71
Magnus	71
Klein	66
Shula	65
Vaimante	64
Brodi	62
Cayla	62
Jakey	58
Daryn	58
Jaelyn	55
Nina	54
Tayyib	48
Jonny	45
Kirstie	45
Kristal	44
Sulayman	44
Amyrose	43
Derry	42
Coral	40
Hazel	40
Jayhan	38
Antoine	38
Caie	37
Alesha	37
Magdalene	36
Mirrin	33
Nawel	31
Christopher	31
Kimmie	30
Pedro	29
Orlagh	28
Ethan	23
Callun	15
Stefano	13
Abiya	13
Keelin	9
Joey	6
Matteo	4
Aoibheann	3
Dilraj	2
